Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893007190, 16637, 341, 343, 403
1557893007206, 16657, 341, 344, 408
1557893007227, 16676, 342, 344, 412
1557893007247, 16696, 340, 347, 412
1557893007268, 16716, 339, 351, 411
1557893007287, 16736, 336, 355, 415
1557893007304, 16755, 334, 364, 417
1557893007325, 16776, 333, 379, 413
1557893007345, 16795, 331, 375, 414
1557893007365, 16815, 331, 369, 410
1557893007386, 16834, 331, 366, 407
1557893007406, 16855, 332, 360, 408
1557893007424, 16874, 330, 357, 410
1557893007444, 16893, 328, 367, 408
1557893007465, 16914, 325, 376, 411
1557893007484, 16933, 322, 375, 410
1557893007504, 16953, 320, 367, 411
1557893007525, 16973, 318, 362, 407
1557893007542, 16993, 317, 360, 405
1557893007563, 17012, 314, 358, 409
1557893007583, 17032, 313, 354, 406
1557893007604, 17052, 313, 348, 407
1557893007623, 17072, 310, 347, 406
1557893007644, 17091, 308, 347, 406
1557893007660, 17112, 306, 346, 409
1557893007681, 17131, 306, 336, 418
1557893007701, 17150, 308, 324, 418
1557893007722, 17171, 311, 320, 415
1557893007742, 17190, 312, 323, 410
1557893007760, 17210, 310, 326, 410
1557893007780, 17229, 310, 325, 408
1557893007799, 17250, 311, 315, 408
1557893007820, 17269, 313, 304, 411
1557893007841, 17289, 314, 302, 411
1557893007861, 17309, 314, 318, 398
1557893007878, 17329, 311, 327, 397
1557893007898, 17348, 310, 321, 406
1557893007919, 17368, 314, 302, 412
1557893007939, 17388, 318, 297, 402
1557893007960, 17408, 319, 303, 405
1557893007980, 17427, 319, 304, 399
1557893007997, 17447, 319, 301, 403
1557893008017, 17467, 317, 298, 412
1557893008037, 17486, 317, 289, 412
1557893008058, 17507, 311, 278, 418
1557893008079, 17526, 306, 271, 427
1557893008098, 17546, 303, 266, 423
1557893008115, 17565, 298, 266, 420
1557893008135, 17586, 292, 271, 418
1557893008156, 17605, 284, 262, 427
1557893008176, 17625, 272, 245, 442
1557893008197, 17645, 256, 245, 447
1557893008218, 17665, 239, 255, 447
1557893008233, 17684, 225, 258, 454
1557893008255, 17704, 210, 270, 460
1557893008275, 17724, 199, 282, 470
1557893008296, 17743, 188, 276, 474
1557893008315, 17763, 174, 284, 470
1557893008332, 17783, 163, 315, 449
1557893008354, 17803, 160, 365, 444
1557893008374, 17822, 172, 397, 430
1557893008393, 17843, 198, 376, 440
1557893008414, 17862, 213, 358, 435
1557893008435, 17882, 217, 400, 407
1557893008451, 17902, 238, 448, 384
1557893008472, 17922, 262, 452, 386
1557893008493, 17941, 282, 429, 398
1557893008512, 17960, 296, 412, 398
1557893008534, 17981, 305, 419, 392
1557893008553, 18000, 312, 423, 393
1557893008571, 18020, 321, 411, 386
1557893008590, 18040, 329, 392, 383
1557893008611, 18060, 337, 375, 388
1557893008632, 18079, 341, 371, 384
1557893008652, 18099, 342, 373, 386
1557893008672, 18119, 344, 372, 381
1557893008689, 18139, 345, 373, 382
1557893008708, 18158, 342, 374, 387
1557893008729, 18179, 342, 371, 392
1557893008750, 18198, 344, 364, 395
1557893008771, 18217, 345, 356, 397
1557893008787, 18238, 343, 357, 398
1557893008807, 18257, 343, 358, 409
1557893008827, 18277, 341, 348, 420
1557893008849, 18296, 340, 352, 414
1557893008869, 18317, 338, 360, 400
1557893008890, 18336, 340, 360, 403
1557893008906, 18356, 339, 343, 419
1557893008925, 18376, 340, 332, 426
1557893008947, 18396, 337, 334, 430
1557893008967, 18415, 337, 343, 428
1557893008988, 18436, 338, 341, 419
1557893009008, 18455, 337, 346, 401
1557893009025, 18475, 337, 346, 404
1557893009044, 18494, 337, 330, 421
1557893009065, 18514, 337, 322, 419
1557893009085, 18534, 335, 335, 407
1557893009106, 18553, 330, 345, 404
1557893009127, 18574, 331, 335, 409
1557893009143, 18593, 331, 320, 412
1557893009164, 18613, 335, 317, 418
1557893009184, 18632, 333, 327, 416
1557893009204, 18653, 332, 321, 420
1557893009225, 18672, 338, 305, 412
1557893009242, 18692, 340, 315, 399
1557893009262, 18712, 339, 310, 414
1557893009282, 18732, 342, 310, 424
1557893009303, 18751, 342, 307, 417
1557893009323, 18771, 342, 321, 399
1557893009344, 18791, 339, 336, 395
1557893009360, 18810, 339, 332, 412
1557893009381, 18830, 340, 320, 418
1557893009402, 18850, 343, 313, 414
1557893009422, 18870, 345, 309, 406
1557893009443, 18889, 346, 310, 398
1557893009462, 18910, 348, 318, 393
1557893009478, 18929, 346, 326, 398
1557893009499, 18949, 345, 317, 413
1557893009521, 18969, 346, 317, 401
1557893009541, 18989, 347, 321, 390
1557893009560, 19008, 344, 331, 390
1557893009582, 19027, 341, 333, 409
1557893009598, 19048, 341, 326, 423
1557893009618, 19067, 343, 325, 420
1557893009639, 19087, 344, 332, 411
1557893009660, 19107, 341, 341, 405
1557893009680, 19127, 340, 348, 418
1557893009696, 19146, 338, 348, 431
1557893009717, 19167, 338, 358, 405
1557893009737, 19186, 337, 359, 401
1557893009757, 19206, 338, 343, 418
1557893009778, 19225, 341, 333, 422
1557893009799, 19246, 341, 340, 413
1557893009815, 19265, 338, 348, 406
1557893009835, 19284, 336, 350, 408
1557893009856, 19305, 336, 344, 407
1557893009876, 19324, 337, 342, 407
1557893009896, 19344, 336, 341, 405
1557893009918, 19363, 334, 344, 405
1557893009934, 19384, 334, 345, 406
1557893009955, 19403, 334, 347, 412
1557893009974, 19423, 333, 347, 415
1557893009995, 19443, 334, 348, 409
1557893010016, 19463, 335, 343, 408
1557893010036, 19482, 335, 341, 407
1557893010055, 19503, 334, 346, 403
1557893010073, 19522, 333, 344, 405
